Buurt2025,buurtnaam2025,bu_code,wk_code,gm_code,wijknaam2025,Gemeentenaam2025,gwb_code_8,regio,gm_naam,recs,a_inw,bev_dich,a_woning,g_wozbag,p_koopw,p_huurw,g_ink_pi,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,a_opp_ha,ste_mvs,pc6_rows,pc6_unique_approx
00140000,Binnenstad-Noord,BU00140000,WK001400,GM0014,Centrum,Groningen,00140000,Binnenstad-Noord,Groningen,Buurt,4765.0,12845.0,2576.0,298.0,13.0,87.0,,0.4,0.3,0.6,0.5,15.1,39.0,1.0,1557,159
00140001,Binnenstad-Zuid,BU00140001,WK001400,GM0014,Centrum,Groningen,00140001,Binnenstad-Zuid,Groningen,Buurt,7085.0,12855.0,4090.0,275.0,12.0,87.0,,0.3,0.3,0.5,0.9,13.3,59.0,1.0,1924,204
00140002,Binnenstad-Oost,BU00140002,WK001400,GM0014,Centrum,Groningen,00140002,Binnenstad-Oost,Groningen,Buurt,4370.0,16293.0,2771.0,253.0,12.0,88.0,,0.5,0.5,0.4,0.8,13.7,29.0,1.0,1165,101
00140003,Binnenstad-West,BU00140003,WK001400,GM0014,Centrum,Groningen,00140003,Binnenstad-West,Groningen,Buurt,1705.0,17475.0,1069.0,286.0,13.0,87.0,,0.6,0.3,0.6,1.0,12.8,11.0,1.0,620,49
00140004,Noorderplantsoen,BU00140004,WK001400,GM0014,Centrum,Groningen,00140004,Noorderplantsoen,Groningen,Buurt,10.0,52.0,0.0,,,,,0.5,0.5,0.3,0.4,15.0,20.0,1.0,6,2
00140005,Hortusbuurt-Ebbingekwartier,BU00140005,WK001400,GM0014,Centrum,Groningen,00140005,Hortusbuurt-Ebbingekwartier,Groningen,Buurt,6515.0,14976.0,3391.0,291.0,24.0,76.0,,0.4,0.4,0.4,0.6,14.9,45.0,1.0,2126,144
00140007,UMCG,BU00140007,WK001400,GM0014,Centrum,Groningen,00140007,UMCG,Groningen,Buurt,0.0,,1.0,,,,,,,,,,24.0,1.0,20,8
00140008,Stationsgebied,BU00140008,WK001400,GM0014,Centrum,Groningen,00140008,Stationsgebied,Groningen,Buurt,530.0,4149.0,92.0,553.0,60.0,40.0,,0.5,0.7,0.7,1.0,13.4,15.0,1.0,109,9
00140100,De Meeuwen,BU00140100,WK001401,GM0014,Oud-Zuid,Groningen,00140100,De Meeuwen,Groningen,Buurt,1930.0,8835.0,652.0,404.0,58.0,42.0,,0.6,0.9,0.9,0.8,8.8,23.0,1.0,612,24
00140101,Oosterpoort,BU00140101,WK001401,GM0014,Oud-Zuid,Groningen,00140101,Oosterpoort,Groningen,Buurt,5020.0,12663.0,2966.0,273.0,29.0,71.0,,0.6,0.5,0.5,0.5,10.2,42.0,1.0,1834,167
00140102,Herewegbuurt,BU00140102,WK001401,GM0014,Oud-Zuid,Groningen,00140102,Herewegbuurt,Groningen,Buurt,1615.0,9910.0,856.0,330.0,39.0,61.0,,0.7,0.7,0.4,0.8,11.6,16.0,1.0,451,39
00140103,Rivierenbuurt,BU00140103,WK001401,GM0014,Oud-Zuid,Groningen,00140103,Rivierenbuurt,Groningen,Buurt,4615.0,8342.0,2713.0,272.0,27.0,72.0,,0.3,0.4,0.4,0.4,13.3,56.0,1.0,1837,118
00140104,Grunobuurt,BU00140104,WK001401,GM0014,Oud-Zuid,Groningen,00140104,Grunobuurt,Groningen,Buurt,2710.0,12419.0,1597.0,285.0,28.0,72.0,,0.6,0.4,0.3,0.3,11.4,23.0,1.0,1060,66
00140105,Badstratenbuurt,BU00140105,WK001401,GM0014,Oud-Zuid,Groningen,00140105,Badstratenbuurt,Groningen,Buurt,915.0,15222.0,578.0,239.0,21.0,79.0,,0.7,0.3,0.4,0.9,12.2,7.0,1.0,446,30
00140106,Zeeheldenbuurt,BU00140106,WK001401,GM0014,Oud-Zuid,Groningen,00140106,Zeeheldenbuurt,Groningen,Buurt,3570.0,10690.0,2062.0,246.0,27.0,73.0,,1.0,0.6,0.6,1.2,10.6,35.0,1.0,788,75
00140107,Laanhuizen,BU00140107,WK001401,GM0014,Oud-Zuid,Groningen,00140107,Laanhuizen,Groningen,Buurt,1300.0,6327.0,686.0,273.0,55.0,45.0,,0.9,0.8,0.3,0.6,10.8,21.0,1.0,552,36
00140108,Stadspark,BU00140108,WK001401,GM0014,Oud-Zuid,Groningen,00140108,Stadspark,Groningen,Buurt,20.0,15.0,1.0,,,,,1.5,1.7,1.5,1.5,5.0,139.0,2.0,21,8
00140109,Martini Trade Park,BU00140109,WK001401,GM0014,Oud-Zuid,Groningen,00140109,Martini Trade Park,Groningen,Buurt,5.0,,0.0,,,,,,,,,,25.0,1.0,23,4
00140110,Peizerweg,BU00140110,WK001401,GM0014,Oud-Zuid,Groningen,00140110,Peizerweg,Groningen,Buurt,295.0,800.0,8.0,,,,,1.9,1.3,1.5,1.7,7.9,37.0,4.0,27,6
00140200,Oranjebuurt,BU00140200,WK001402,GM0014,Oud-West,Groningen,00140200,Oranjebuurt,Groningen,Buurt,2600.0,9933.0,1382.0,342.0,43.0,57.0,,1.0,0.4,0.7,0.5,13.3,27.0,1.0,842,76
00140201,Noorderplantsoenbuurt,BU00140201,WK001402,GM0014,Oud-West,Groningen,00140201,Noorderplantsoenbuurt,Groningen,Buurt,3900.0,15599.0,2321.0,279.0,41.0,59.0,,0.9,0.4,0.8,0.7,14.0,25.0,1.0,1356,99
00140202,Schildersbuurt,BU00140202,WK001402,GM0014,Oud-West,Groningen,00140202,Schildersbuurt,Groningen,Buurt,5670.0,15527.0,2704.0,338.0,36.0,63.0,,0.5,0.5,0.3,0.8,13.9,39.0,1.0,1482,151
00140203,Kostverloren,BU00140203,WK001402,GM0014,Oud-West,Groningen,00140203,Kostverloren,Groningen,Buurt,2365.0,9526.0,1403.0,269.0,26.0,74.0,,0.6,0.3,0.4,0.5,13.5,26.0,1.0,1089,72
00140301,Indische buurt,BU00140301,WK001403,GM0014,Oud-Noord,Groningen,00140301,Indische buurt,Groningen,Buurt,8525.0,12303.0,4901.0,238.0,16.0,84.0,,0.5,0.4,0.4,0.8,11.4,72.0,1.0,3229,236
00140302,Professorenbuurt,BU00140302,WK001403,GM0014,Oud-Noord,Groningen,00140302,Professorenbuurt,Groningen,Buurt,6430.0,12089.0,3349.0,276.0,31.0,69.0,,0.6,0.5,0.4,0.6,11.8,57.0,1.0,1603,133
00140303,De Hoogte,BU00140303,WK001403,GM0014,Oud-Noord,Groningen,00140303,De Hoogte,Groningen,Buurt,4095.0,11545.0,2596.0,237.0,10.0,90.0,,0.8,0.7,0.7,1.1,11.3,35.0,1.0,2224,123
00140304,Bedrijventerrein De Hoogte,BU00140304,WK001403,GM0014,Oud-Noord,Groningen,00140304,Bedrijventerrein De Hoogte,Groningen,Buurt,10.0,56.0,7.0,,,,,1.1,1.0,0.9,1.1,11.0,22.0,1.0,33,9
00140400,Gorechtbuurt,BU00140400,WK001404,GM0014,Oud-Oost,Groningen,00140400,Gorechtbuurt,Groningen,Buurt,4745.0,12601.0,2831.0,259.0,28.0,72.0,,0.4,0.3,0.4,0.6,11.9,38.0,1.0,1402,112
00140401,Vogelbuurt,BU00140401,WK001404,GM0014,Oud-Oost,Groningen,00140401,Vogelbuurt,Groningen,Buurt,3145.0,8918.0,1907.0,284.0,15.0,85.0,,0.7,0.6,0.6,0.8,10.1,37.0,1.0,1157,60
00140402,Bloemenbuurt,BU00140402,WK001404,GM0014,Oud-Oost,Groningen,00140402,Bloemenbuurt,Groningen,Buurt,2765.0,11902.0,1755.0,248.0,23.0,77.0,,0.6,0.5,0.4,0.4,9.4,23.0,1.0,1307,98
00140403,Florabuurt,BU00140403,WK001404,GM0014,Oud-Oost,Groningen,00140403,Florabuurt,Groningen,Buurt,1485.0,5963.0,824.0,284.0,53.0,47.0,,1.2,1.0,0.5,0.7,7.9,29.0,1.0,796,43
00140404,Damsterbuurt,BU00140404,WK001404,GM0014,Oud-Oost,Groningen,00140404,Damsterbuurt,Groningen,Buurt,775.0,2818.0,495.0,,18.0,82.0,,0.8,0.6,0.3,0.9,10.6,37.0,1.0,274,17
00140500,De Linie,BU00140500,WK001405,GM0014,Zuidoost,Groningen,00140500,De Linie,Groningen,Buurt,945.0,8730.0,431.0,435.0,71.0,29.0,,0.6,0.8,0.6,1.2,6.9,12.0,1.0,430,17
00140501,Europapark,BU00140501,WK001405,GM0014,Zuidoost,Groningen,00140501,Europapark,Groningen,Buurt,1330.0,3029.0,974.0,318.0,24.0,76.0,,0.3,0.3,0.3,1.5,7.5,48.0,2.0,834,11
00140503,Kop van Oost,BU00140503,WK001405,GM0014,Zuidoost,Groningen,00140503,Kop van Oost,Groningen,Buurt,685.0,11792.0,398.0,417.0,49.0,50.0,,0.7,1.2,1.0,1.2,9.1,6.0,1.0,403,6
00140504,Woonschepenhaven,BU00140504,WK001405,GM0014,Zuidoost,Groningen,00140504,Woonschepenhaven,Groningen,Buurt,125.0,1894.0,0.0,,,,,2.2,2.1,1.8,1.7,3.0,12.0,3.0,73,1
00140505,Driebond,BU00140505,WK001405,GM0014,Zuidoost,Groningen,00140505,Driebond,Groningen,Buurt,80.0,89.0,4.0,,,,,2.3,2.1,1.8,1.8,2.9,96.0,5.0,122,15
00140506,Eemspoort,BU00140506,WK001405,GM0014,Zuidoost,Groningen,00140506,Eemspoort,Groningen,Buurt,30.0,27.0,12.0,,,,,3.0,2.9,2.7,2.4,1.0,108.0,5.0,201,17
00140507,Euvelgunne,BU00140507,WK001405,GM0014,Zuidoost,Groningen,00140507,Euvelgunne,Groningen,Buurt,50.0,53.0,6.0,,,,,2.6,2.2,2.3,2.5,0.9,101.0,5.0,192,21
00140508,Winschoterdiep,BU00140508,WK001405,GM0014,Zuidoost,Groningen,00140508,Winschoterdiep,Groningen,Buurt,135.0,107.0,8.0,,,,,1.5,1.7,1.5,2.5,3.9,141.0,4.0,129,12
00140509,Stainkoel'n,BU00140509,WK001405,GM0014,Zuidoost,Groningen,00140509,Stainkoel'n,Groningen,Buurt,0.0,,0.0,,,,,,,,,,91.0,5.0,0,0
00140510,Roodehaan,BU00140510,WK001405,GM0014,Zuidoost,Groningen,00140510,Roodehaan,Groningen,Buurt,25.0,14.0,9.0,,,,,3.8,4.0,3.8,4.0,0.0,195.0,5.0,22,7
00140511,Waterhuizen,BU00140511,WK001405,GM0014,Zuidoost,Groningen,00140511,Waterhuizen,Groningen,Buurt,5.0,,1.0,,,,,,,,,,48.0,5.0,1,1
00140512,Eemskanaal-Noord,BU00140512,WK001405,GM0014,Zuidoost,Groningen,00140512,Eemskanaal-Noord,Groningen,Buurt,275.0,433.0,6.0,,,,,0.7,1.1,0.9,1.1,9.8,76.0,2.0,68,14
00140513,Eemskanaal-Zuid,BU00140513,WK001405,GM0014,Zuidoost,Groningen,00140513,Eemskanaal-Zuid,Groningen,Buurt,20.0,29.0,2.0,,,,,1.7,1.1,1.3,2.2,2.3,68.0,4.0,72,11
00140600,Sterrebosbuurt,BU00140600,WK001406,GM0014,Midden-Zuid,Groningen,00140600,Sterrebosbuurt,Groningen,Buurt,965.0,1614.0,339.0,477.0,72.0,27.0,,1.3,1.2,0.4,1.4,8.9,62.0,1.0,281,15
00140601,Coendersborg,BU00140601,WK001406,GM0014,Midden-Zuid,Groningen,00140601,Coendersborg,Groningen,Buurt,3160.0,4349.0,1701.0,313.0,60.0,40.0,,1.5,0.5,0.6,1.1,6.7,74.0,2.0,1467,123
00140602,Klein Martijn,BU00140602,WK001406,GM0014,Midden-Zuid,Groningen,00140602,Klein Martijn,Groningen,Buurt,595.0,2244.0,291.0,599.0,89.0,11.0,,1.8,0.7,1.1,1.5,4.7,26.0,2.0,295,13
00140603,Villabuurt,BU00140603,WK001406,GM0014,Midden-Zuid,Groningen,00140603,Villabuurt,Groningen,Buurt,970.0,1491.0,440.0,813.0,95.0,5.0,,1.8,1.1,0.6,1.1,7.0,65.0,2.0,432,49
00140604,Helpman,BU00140604,WK001406,GM0014,Midden-Zuid,Groningen,00140604,Helpman,Groningen,Buurt,6145.0,10478.0,3494.0,304.0,51.0,49.0,,0.9,0.7,0.3,0.9,9.0,59.0,1.0,2381,184
00140605,De Wijert,BU00140605,WK001406,GM0014,Midden-Zuid,Groningen,00140605,De Wijert,Groningen,Buurt,4545.0,7721.0,2754.0,238.0,32.0,68.0,,0.9,0.4,0.3,0.7,8.3,60.0,1.0,2532,138
00140606,De Wijert-Zuid,BU00140606,WK001406,GM0014,Midden-Zuid,Groningen,00140606,De Wijert-Zuid,Groningen,Buurt,3370.0,3647.0,1524.0,453.0,85.0,15.0,,1.4,1.2,0.5,0.5,7.5,92.0,2.0,1497,90
00140700,Corpus den Hoorn,BU00140700,WK001407,GM0014,Zuidwest,Groningen,00140700,Corpus den Hoorn,Groningen,Buurt,4450.0,4075.0,2840.0,249.0,31.0,69.0,,0.7,0.7,0.5,0.5,8.9,114.0,1.0,2550,136
00140701,Hoornse Meer,BU00140701,WK001407,GM0014,Zuidwest,Groningen,00140701,Hoornse Meer,Groningen,Buurt,4290.0,4387.0,2507.0,322.0,41.0,59.0,,0.7,0.5,0.6,1.4,8.2,120.0,2.0,2354,92
00140702,Hoornse Park,BU00140702,WK001407,GM0014,Zuidwest,Groningen,00140702,Hoornse Park,Groningen,Buurt,730.0,2181.0,297.0,647.0,88.0,12.0,,1.4,0.7,0.6,1.5,6.8,33.0,4.0,274,16
