pc4,buurt_key,address_count
1011,0363AF08,674
1012,0363AE03,566
1013,0363AA02,1364
1014,0363EC01,2039
1015,0363AB05,1166
1016,0363AB10,1404
1017,0363AH03,763
1018,0363AK04,2560
1019,0363MA01,1652
1021,0363NL03,1561
1022,0363NG02,1535
1023,0363NN02,1286
1024,0363NJ05,2460
1025,0363NH02,1605
1026,0363NQ10,199
1027,0363NQ03,184
1028,0363NQ09,124
1031,0363NB07,3419
1032,0363NK01,1245
1033,0363NC02,2038
1034,0363NE04,1861
1035,0363NA07,1460
1036,0363NC04,1113
1037,0363NA01,66
1041,0363BA04,77
1042,0363BA05,84
1043,0363FA08,1903
1044,0363BA03,38
1045,0363BA02,61
1046,0363FA03,513
1047,0363FA01,86
1051,0363EH06,1236
1052,0363EJ01,643
1053,0363ES02,993
1054,0363EU02,1511
1055,0363EE01,964
1056,0363EK03,507
1057,0363EM04,721
1058,0363ER02,781
1059,0363FP05,1051
1060,0363FG03,2018
1061,0363FM02,1795
1062,0363FP04,2121
1063,0363FC01,1442
1064,0363FE03,1986
1065,0363FN02,1563
1066,0363FQ03,1327
1067,0363FB03,1943
1068,0363FK03,2276
1069,0363FH02,2672
1071,0363KD02,749
1072,0363KF01,831
1073,0363KF03,721
1074,0363KG03,1043
1075,0363KB01,496
1076,0363KH02,1144
1077,0363KP01,915
1078,0363KK02,742
1079,0363KK05,901
1081,0363KQ05,2480
1082,0363KQ04,3167
1083,0363KR02,1841
1086,0363MJ02,1175
1087,0363MJ05,2442
1091,0363MC01,1140
1092,0363MD02,1106
1093,0363ME01,1879
1094,0363MF03,1202
1095,0363MH02,2004
1096,0363MQ05,2024
1097,0363MP03,1659
1098,0363MN04,1878
1101,0363TA03,620
1102,0363TB01,2854
1103,0363TF01,1871
1104,0363TH02,1566
1105,0363TA05,2271
1106,0363TJ03,1845
1107,0363TM04,1561
1108,0363TK01,1678
1109,0363SA02,616
1111,03840202,1176
1112,03840502,2120
1113,03840104,662
1114,04370001,587
1115,04370001,2639
1117,03941663,255
1118,03941663,570
1119,03940674,497
1121,04150301,1324
1127,04150201,251
1131,03850201,2038
1132,03850210,1155
1135,03850001,1392
1141,08520000,1312
1145,08520100,119
1151,08520300,1139
1153,08520301,118
1154,08520302,63
1156,08520200,937
1161,03940343,874
1165,03942272,1128
1171,03940554,1409
1175,03940429,362
1181,03620401,1960
1182,03620202,1054
1183,03620603,1604
1184,03620702,186
1185,03620804,1857
1186,03621005,1465
1187,03621101,1148
1188,03621002,1300
1189,03621301,206
1191,04370000,3520
1211,04020101,1537
1212,04020505,1849
1213,04020501,1243
1214,04020402,2153
1215,04020405,1949
1216,04020304,3257
1217,04020201,1110
1218,04020801,1859
1221,04020603,1563
1222,04020703,3716
1223,04020605,2411
1231,16960400,2617
1241,16960101,2514
1243,16960000,612
1244,16960201,481
1251,04170328,2041
1252,04170324,150
1261,03760102,2121
1262,03760104,484
1271,04060001,1735
1272,04060103,960
1273,04060817,1576
1274,04061123,1489
1275,04061020,736
1276,04060716,1882
1277,04061226,859
1309,00345901,15
1311,00342808,794
1312,00342804,773
1313,00342602,660
1314,00341701,1267
1315,00341705,974
1316,00342204,594
1317,00342202,766
1318,00342101,868
1319,00343104,898
1321,00343005,828
1322,00343702,255
1323,00342902,1324
1324,00342703,1287
1325,00341805,995
1326,00341902,857
1327,00343801,130
1328,00342405,899
1329,00343901,26
1331,00345801,97
1332,00345701,146
1333,00344401,916
1334,00344101,1130
1335,00345002,1024
1336,00345001,722
1338,00344701,800
1339,00344901,976
1341,00347603,941
1343,00347502,388
1349,00347702,1615
1351,00340701,447
1352,00340703,518
1353,00340803,786
1354,00340101,422
1355,00340601,597
1356,00340502,389
1357,00340402,372
1358,00341001,305
1359,00340902,400
1361,00346602,1309
1362,00346001,1227
1363,00346101,1226
1364,00349615,1
1381,0363SD03,1247
1382,0363SC05,1127
1383,0363SE02,794
1384,0363SB03,1145
1391,07360702,1753
1393,19040804,524
1394,16960604,833
1396,07360801,456
1398,19420401,1635
1399,19420402,751
1401,19420002,498
1402,19420004,492
1403,19420206,1217
1404,19420000,726
1405,19420302,412
1406,19420304,603
1411,19420502,1619
1412,19420508,976
1421,04512500,1495
1422,04513500,3263
1423,04516500,2373
1424,04518500,1557
1426,07360202,189
1427,07360301,443
1428,05690819,38
1431,03580001,3107
1432,03580205,2821
1433,03580100,3848
1435,03940779,739
1436,03940676,220
1437,03940678,61
1438,03940675,168
1441,04390402,2997
1442,04390201,3525
1443,04390302,2589
1444,04390204,3162
1445,04390501,2202
1446,04390504,2179
1447,04390602,2962
1448,04390705,2601
1451,04150101,142
1452,08520400,734
1454,08520500,227
1456,08800100,454
1458,08800209,51
1461,04390804,1657
1462,04390801,2417
1463,04390802,218
1464,04390803,263
1471,03850701,331
1472,03850601,281
1473,03850501,291
1474,03850402,925
1475,03850301,221
1476,03850801,47
1477,03850901,65
1481,03850101,34
1482,08520010,50
1483,03611003,1928
1484,03611002,343
1485,03611000,35
1486,03611001,289
1487,03611004,70
1488,03611005,69
1489,03830601,54
1501,04791131,1567
1502,04791412,3006
1503,04791321,1653
1504,04791213,1562
1505,04791122,1687
1506,04792210,2155
1507,04792314,2699
1508,04791512,1497
1509,04791612,1760
1511,04310000,3123
1521,04795110,1697
1525,04795150,183
1531,08800001,1896
1534,08800002,219
1536,03611006,128
1541,04793110,2278
1544,04794110,1660
1546,08800200,264
1551,04798140,1081
1561,04796130,1201
1562,04796220,1543
1566,04797120,2586
1567,04797234,1776
1601,03880001,1426
1602,03880106,1235
1606,04980300,1244
1607,04980601,512
1608,04980400,563
1609,04980700,45
1611,05320310,1187
1613,05320306,893
1614,05320201,841
1616,04980006,767
1617,04980100,599
1619,04201601,862
1621,04051001,1270
1622,04051301,1003
1623,04051102,972
1624,04051200,807
1625,04052007,1056
1627,04053401,89
1628,04053306,1498
1631,15981002,94
1633,15980803,502
1634,15980902,205
1636,03610903,538
1641,15980303,385
1642,15980302,12
1643,15980301,81
1645,15980605,225
1646,03610901,29
1647,15980504,296
1648,15980705,342
1652,15980402,116
1654,04200702,159
1655,04200601,261
1657,04200501,899
1658,04200401,76
1661,04320503,126
1662,04320503,128
1663,04320503,36
1671,04200101,1188
1674,04200201,721
1676,04200301,378
1678,04201201,253
1679,04201101,1013
1681,04201402,147
1682,04201403,62
1683,04201401,62
1684,04201401,198
1685,04200901,143
1686,04200902,37
1687,04200802,725
1688,04201001,841
1689,04052100,1090
1691,04201301,245
